        3641    5    7.5076    9.3747E-01    3.8284E-01    1.4010E+00    2.3522E-01    1.2871E-01    9.2782E-01    1.0082E+00    4.3898E-01    1.8148E+00    5.1355E-01    8.1701E-02    4.0674E+00
        3642    5    7.5408    1.2391E+00    5.5456E-01    1.8344E+00    2.9109E-01    1.7119E-01    9.8737E-01    1.3702E+00    7.1208E-01    2.6354E+00    7.5582E-01    2.8320E-01    5.2844E+00
        3643    5    7.5802    1.4599E+00    7.3382E-01    2.1775E+00    3.0949E-01    1.7070E-01    7.8463E-01    1.7405E+00    1.0805E+00    4.1026E+00    1.2958E+00    7.5424E-01    6.7128E+00
        3644    5    7.6218    1.3419E+00    7.1543E-01    1.7369E+00    8.8222E-02    3.5648E-02    1.6955E-01    1.7957E+00    1.3463E+00    5.4723E+00    1.9843E+00    1.3872E+00    8.2211E+00
        3738    5    7.4511    6.5206E-01    1.1717E-01    1.0119E+00    1.2149E-01    2.2108E-02    7.1742E-01    6.8496E-01    1.1112E-01    1.2621E+00    1.5781E-01    4.6333E-04    1.8789E-01
        3739    5    7.4450    5.9378E-01    1.2289E-01    9.3802E-01    1.2001E-01    1.8671E-02    6.7251E-01    6.2541E-01    1.1540E-01    1.1046E+00    1.4731E-01    0.0000E+00    0.0000E+00
        3740    5    7.4502    5.8729E-01    1.5867E-01    8.7194E-01    1.3185E-01    2.9702E-02    6.8706E-01    6.2413E-01    1.5922E-01    1.0114E+00    1.9075E-01    1.0683E-03    1.0692E-01
        3741    5    7.4668    7.1333E-01    2.3830E-01    9.6055E-01    1.6555E-01    5.7636E-02    7.4796E-01    7.6254E-01    2.6704E-01    1.1891E+00    3.4190E-01    1.8293E-02    1.8846E+00
        3742    5    7.4939    9.1390E-01    3.5170E-01    1.2003E+00    2.3209E-01    1.0765E-01    8.4972E-01    9.9202E-01    4.0985E-01    1.5379E+00    5.1544E-01    5.9582E-02    3.3665E+00
        3743    5    7.5293    1.2154E+00    5.3528E-01    1.7476E+00    3.0073E-01    1.5731E-01    9.3800E-01    1.2928E+00    6.5333E-01    2.3307E+00    7.8326E-01    2.1314E-01    4.6999E+00
        3744    5    7.5694    1.4471E+00    7.2897E-01    2.2198E+00    3.5279E-01    1.8702E-01    8.5882E-01    1.6790E+00    1.0169E+00    3.8377E+00    1.2541E+00    6.3125E-01    6.0850E+00
        3745    5    7.6096    1.4087E+00    8.0070E-01    2.1727E+00    1.6403E-01    6.3805E-02    2.8572E-01    1.7696E+00    1.3067E+00    5.4738E+00    2.0042E+00    1.2216E+00    7.4877E+00
        3746    5    7.6456    8.0517E-01    4.3865E-01    9.4972E-01    3.1610E-02    1.0711E-02    4.4025E-02    1.3510E+00    1.3036E+00    6.3606E+00    2.8032E+00    1.7031E+00    8.0108E+00
